"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.6","172.217.166.78","TLSv1.2","1534","Application Data"
"2","-0.2035297","172.217.166.78","192.168.43.6","TCP","66","443  >  43326 [ACK] Seq=1 Ack=1349 Win=323 Len=0 TSval=2735498145 TSecr=1733133064"
"3","0.164616","172.217.166.78","192.168.43.6","TCP","66","443  >  43326 [ACK] Seq=1 Ack=1469 Win=323 Len=0 TSval=2735498145 TSecr=1733133064"
"4","-0.1178161","172.217.166.78","192.168.43.6","TCP","1414","443  >  43326 [ACK] Seq=1 Ack=1469 Win=323 Len=1348 TSval=2735498255 TSecr=1733133064 [TCP segment of a reassembled PDU]"
"5","-0.1159302","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=1349 Win=493 Len=0 TSval=1733133376 TSecr=2735498255"
"6","-0.1158508","172.217.166.78","192.168.43.6","TLSv1.2","133","Application Data"
"7","0.252475","172.217.166.78","192.168.43.6","TLSv1.2","3227","Application Data, Application Data, Application Data"
"8","-0.1082949","172.217.166.78","192.168.43.6","TLSv1.2","2762","[TCP Previous segment not captured] , Application Data, Application Data"
"9","-0.966634","172.217.166.78","192.168.43.6","TCP","1414","[TCP Retransmission] 443  >  43326 [PSH, ACK] Seq=4577 Ack=1469 Win=323 Len=1348 TSval=2735498261 TSecr=1733133064"
"10","-0.893508","172.217.166.78","192.168.43.6","TLSv1.2","2762","Application Data, Application Data"
"11","0.283909","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=1416 Win=501 Len=0 TSval=1733133377 TSecr=2735498255"
"12","-0.840227","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=4577 Win=477 Len=0 TSval=1733133377 TSecr=2735498255"
"13","-0.839292","192.168.43.6","172.217.166.78","TCP","78","[TCP Dup ACK 12#1] 43326  >  443 [ACK] Seq=1469 Ack=4577 Win=477 Len=0 TSval=1733133377 TSecr=2735498255 SLE=5925 SRE=8621"
"14","-0.838400","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=8621 Win=446 Len=0 TSval=1733133377 TSecr=2735498261"
"15","-0.756251","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=11317 Win=425 Len=0 TSval=1733133377 TSecr=2735498269"
"16","-0.755214","172.217.166.78","192.168.43.6","TLSv1.2","2762","Application Data, Application Data"
"17","-0.031770","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=14013 Win=404 Len=0 TSval=1733133378 TSecr=2735498277"
"18","-0.711459","192.168.43.6","142.251.42.54","TCP","74","33082  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3216306965 TSecr=0 WS=128"
"19","0.1046872","142.251.42.54","192.168.43.6","TCP","74","443  >  33082 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=511747726 TSecr=3216306965 WS=256"
"20","0.1047947","172.217.166.78","192.168.43.6","TLSv1.2","2762","Application Data, Application Data"
"21","0.1119766","172.217.166.78","192.168.43.6","TLSv1.2","2762","Application Data, Application Data, Application Data"
"22","-0.012937","172.217.166.78","192.168.43.6","TLSv1.2","2762","Application Data, Application Data, Application Data"
"23","0.1236467","172.217.166.78","192.168.43.6","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"24","0.1270757","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=16709 Win=477 Len=0 TSval=1733133598 TSecr=2735498429"
"25","-0.011923","192.168.43.6","142.251.42.54","TCP","66","33082  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3216307161 TSecr=511747726"
"26","0.1273463","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=19405 Win=456 Len=0 TSval=1733133598 TSecr=2735498433"
"27","0.495501","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=22101 Win=435 Len=0 TSval=1733133598 TSecr=2735498441"
"28","0.1275699","192.168.43.6","172.217.166.78","TCP","78","[TCP Dup ACK 27#1] 43326  >  443 [ACK] Seq=1469 Ack=22101 Win=435 Len=0 TSval=1733133598 TSecr=2735498441 SLE=23449 SRE=24797"
"29","0.1276913","192.168.43.6","142.251.42.54","TLSv1.3","888","Client Hello"
"30","0.1298578","172.217.166.78","192.168.43.6","TCP","1414","[TCP Retransmission] 443  >  43326 [ACK] Seq=22101 Ack=1469 Win=323 Len=1348 TSval=2735498449 TSecr=1733133377"
"31","0.1343386","172.217.166.78","192.168.43.6","TLSv1.2","2762","Ignored Unknown Record"
"32","0.1411462","172.217.166.78","192.168.43.6","TLSv1.2","2762","Ignored Unknown Record"
"33","0.518527","172.217.166.78","192.168.43.6","TLSv1.2","2762","Ignored Unknown Record"
"34","0.1587203","172.217.166.78","192.168.43.6","TLSv1.2","2762","Ignored Unknown Record"
"35","0.1651809","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=24797 Win=439 Len=0 TSval=1733133601 TSecr=2735498449"
"36","0.1653762","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=27493 Win=418 Len=0 TSval=1733133601 TSecr=2735498457"
"37","0.533543","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=30189 Win=397 Len=0 TSval=1733133601 TSecr=2735498464"
"38","0.533658","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=32885 Win=376 Len=0 TSval=1733133601 TSecr=2735498472"
"39","0.1657166","192.168.43.6","172.217.166.78","TCP","66","43326  >  443 [ACK] Seq=1469 Ack=35581 Win=355 Len=0 TSval=1733133601 TSecr=2735498480"
"40","0.533863","172.217.166.78","192.168.43.6","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"41","0.1689777","192.168.43.6","172.217.166.78","TCP","78","[TCP Dup ACK 39#1] 43326  >  443 [ACK] Seq=1469 Ack=35581 Win=355 Len=0 TSval=1733133601 TSecr=2735498480 SLE=36929 SRE=38277"
"42","0.1691349","172.217.166.78","192.168.43.6","TCP","1414","[TCP Retransmission] 443  >  43326 [ACK] Seq=35581 Ack=1469 Win=323 Len=1348 TSval=2735498488 TSecr=1733133378"
"43","0.1728320","172.217.166.78","192.168.43.6","TLSv1.2","2762","Ignored Unknown Record"
"44","0.547387","172.217.166.78","192.168.43.6","TLSv1.2","2762","Ignored Unknown Record"
